base_name,normal_file,normal_label,normal_split,other_files,other_labels,same_label
Dieu_0007_p01,Dieu_0007_p01.png,62H76356,val,Dieu_0007_p01_01.png,62H76356,True
Dieu_0008_p01,Dieu_0008_p01.png,62A25781,train,Dieu_0008_p01_01.png,62A25781,True
Dieu_0010_p01,Dieu_0010_p01.png,59S361475,train,Dieu_0010_p01_01.png,59S361475,True
Dieu_0010_p02,Dieu_0010_p02.png,59S309124,train,Dieu_0010_p02_02.png,59S309124,True
Dieu_0010_p03,Dieu_0010_p03.png,36B456087,train,Dieu_0010_p03_03.png,36B456087,True
Dieu_0011_p01,Dieu_0011_p01.png,60C56611,train,Dieu_0011_p01_01.png,60C56611,True
Dieu_0012_p01,Dieu_0012_p01.png,60C56611,train,Dieu_0012_p01_01.png,60C56611,True
Dieu_0013_p01,Dieu_0013_p01.png,72G180117,train,Dieu_0013_p01_01.png,72G180117,True
Dieu_0014_p01,Dieu_0014_p01.png,60K26831,test,Dieu_0014_p01_01.png,60K26831,True
Dieu_0019_p01,Dieu_0019_p01.png,51G20995,test,Dieu_0019_p01_01.png,51G20995,True
Dieu_0020_p01,Dieu_0020_p01.png,55X86135,train,Dieu_0020_p01_01.png,55X86135,True
Dieu_0020_p02,Dieu_0020_p02.png,60B579769,train,Dieu_0020_p02_02.png,60B579769,True
Dieu_0021_p01,Dieu_0021_p01.png,51A61294,val,Dieu_0021_p01_01.png,51A61294,True
Dieu_0022_p01,Dieu_0022_p01.png,51A41137,train,Dieu_0022_p01_01.png,51A41137,True
Dieu_0023_p01,Dieu_0023_p01.png,51F87119,val,Dieu_0023_p01_01.png,51F87119,True
Dieu_0024_p01,Dieu_0024_p01.png,51C46918,val,Dieu_0024_p01_01.png,51C46918,True
Dieu_0025_p01,Dieu_0025_p01.png,59X408156,val,Dieu_0025_p01_01.png,59X408156,True
Dieu_0026_p01,Dieu_0026_p01.png,59X129252,test,Dieu_0026_p01_01.png,59X129252,True
Dieu_0027_p01,Dieu_0027_p01.png,51H92399,train,Dieu_0027_p01_01.png,51H92399,True
Dieu_0028_p01,Dieu_0028_p01.png,51K50896,test,Dieu_0028_p01_01.png,51K50896,True
Dieu_0029_p01,Dieu_0029_p01.png,51A18281,test,Dieu_0029_p01_01.png,51A18281,True
Dieu_0030_p01,Dieu_0030_p01.png,51H69031,test,Dieu_0030_p01_01.png,51H69031,True
Dieu_0031_p01,Dieu_0031_p01.png,51G78088,val,Dieu_0031_p01_01.png,51G78088,True
Dieu_0032_p01,Dieu_0032_p01.png,29H50138,train,Dieu_0032_p01_01.png,29H50138,True
Dieu_0033_p01,Dieu_0033_p01.png,72H127538,train,Dieu_0033_p01_01.png,72H127538,True
Dieu_0033_p02,Dieu_0033_p02.png,3582885,train,Dieu_0033_p02_02.png,3582885,True
Dieu_0034_p01,Dieu_0034_p01.png,51F09900,train,Dieu_0034_p01_01.png,51F09900,True
Dieu_0034_p02,Dieu_0034_p02.png,35B260865,train,Dieu_0034_p02_02.png,35B260865,True
Dieu_0038_p01,Dieu_0038_p01.png,60T78671,val,Dieu_0038_p01_01.png,60T78671,True
Dieu_0039_p01,Dieu_0039_p01.png,59X198036,train,Dieu_0039_p01_01.png,59X198036,True
Dieu_0039_p02,Dieu_0039_p02.png,74D141017,train,Dieu_0039_p02_02.png,74D141017,True
Dieu_0041_p01,Dieu_0041_p01.png,63P126980,train,Dieu_0041_p01_01.png,63P126980,True
Dieu_0041_p02,Dieu_0041_p02.png,52S43401,train,Dieu_0041_p02_02.png,52S43401,True
Dieu_0043_p01,Dieu_0043_p01.png,61D222257,train,Dieu_0043_p01_01.png,61D222257,True
Dieu_0043_p02,Dieu_0043_p02.png,79D127608,train,Dieu_0043_p02_02.png,79D127608,True
