epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,val_refine_iters,val_decode_ar,seconds
1,0.7298982390224893,5844,val,948,0.34282700421940926,0.25587828492392806,0.7441217150760719,1,True,109.2870671749115
2,0.29393146104962753,5844,val,948,0.6476793248945147,0.08323902929712058,0.9167609707028794,1,True,112.10472106933594
3,0.19609632297666982,5844,val,948,0.8122362869198312,0.03696718219539796,0.963032817804602,1,True,102.30745315551758
4,0.15298951154193555,5844,val,948,0.8565400843881856,0.02477052684521564,0.9752294731547844,1,True,100.40763831138611
5,0.11455715148880871,5844,val,948,0.8892405063291139,0.01873506852759965,0.9812649314724003,1,True,100.00045490264893
6,0.09704698114302124,5844,val,948,0.9018987341772152,0.016346032943543316,0.9836539670564567,1,True,102.75921058654785
7,0.08534104930247136,5844,val,948,0.9166666666666666,0.013579781214635987,0.986420218785364,1,True,101.46455907821655
8,0.06848158035108604,5844,val,948,0.9166666666666666,0.013076826354834654,0.9869231736451654,1,True,100.98356771469116
9,0.06256184075250813,5844,val,948,0.9272151898734177,0.011065006915629323,0.9889349930843707,1,True,100.60292625427246
10,0.05341395135528442,5844,val,948,0.9251054852320675,0.011190745630579655,0.9888092543694204,1,True,100.48698902130127
11,0.05016446690515581,5844,val,948,0.929324894514768,0.010436313340877657,0.9895636866591223,1,True,99.95099139213562
12,0.04467536021750051,5844,val,948,0.9345991561181435,0.009681881051175657,0.9903181189488244,1,True,100.21975445747375
13,0.0409521689130284,5844,val,948,0.9377637130801688,0.009933358481076323,0.9900666415189237,1,True,99.95907497406006
14,0.03499440193172445,5844,val,948,0.9335443037974683,0.009933358481076323,0.9900666415189237,1,True,99.69624018669128
15,0.030710414820143535,5844,val,948,0.9367088607594937,0.009681881051175657,0.9903181189488244,1,True,99.67370390892029
16,0.03273117792037871,5844,val,948,0.9377637130801688,0.009304664906324657,0.9906953350936754,1,True,100.29790592193604
17,0.0267106763869371,5844,val,948,0.9440928270042194,0.00867597133157299,0.9913240286684271,1,True,100.13389110565186
18,0.027115428155306587,5844,val,948,0.9451476793248945,0.008298755186721992,0.991701244813278,1,True,100.87159633636475
19,0.02461522951429553,5844,val,948,0.9472573839662447,0.007921539041870993,0.992078460958129,1,True,99.93196296691895
20,0.023533285888865548,5844,val,948,0.9493670886075949,0.007544322897019992,0.99245567710298,1,True,99.62933468818665
21,0.024223236969183215,5844,val,948,0.9462025316455697,0.007795800326920659,0.9922041996730794,1,True,99.25661015510559
22,0.020946405946087758,5844,val,948,0.9483122362869199,0.0074185841820696595,0.9925814158179304,1,True,99.39147925376892
23,0.021313879196994227,5844,val,948,0.9514767932489452,0.00666415189236766,0.9933358481076323,1,True,99.60245752334595
24,0.020000905497796442,5844,val,948,0.9514767932489452,0.007167106752168993,0.992832893247831,1,True,99.43844890594482
25,0.017921348870843446,5844,val,948,0.9514767932489452,0.0067898906073179935,0.9932101093926821,1,True,100.15823578834534
26,0.019319420445820062,5844,val,948,0.9567510548523207,0.00628693574751666,0.9937130642524833,1,True,99.38946175575256
27,0.015060526775744406,5844,val,948,0.9514767932489452,0.00666415189236766,0.9933358481076323,1,True,99.63706016540527
28,0.01359491990522203,5844,val,948,0.9556962025316456,0.005783980887715328,0.9942160191122846,1,True,99.6313247680664
29,0.015410365685017385,5844,val,948,0.959915611814346,0.005532503457814661,0.9944674965421854,1,True,99.69817233085632
30,0.014454855993571759,5844,val,948,0.9556962025316456,0.005783980887715328,0.9942160191122846,1,True,99.7035505771637
