index,name,branch,zoom,upscale,preprocessing,unwrap_two_line,output
0,baseline,baseline,1.00,1,train_baseline,False,01_baseline.png
1,full_z0.85_up2_train_baseline,full,0.85,2,train_baseline,False,views/full/full_z0.85_up2_train_baseline.png
2,full_z0.85_up2_clahe_clip1_tile4,full,0.85,2,clahe_clip1_tile4,False,views/full/full_z0.85_up2_clahe_clip1_tile4.png
3,full_z0.85_up2_clahe_rl_deblur_bilateral,full,0.85,2,clahe_rl_deblur_bilateral,False,views/full/full_z0.85_up2_clahe_rl_deblur_bilateral.png
4,full_z0.85_up2_adaptive_noise_3way,full,0.85,2,adaptive_noise_3way,False,views/full/full_z0.85_up2_adaptive_noise_3way.png
5,full_z0.93_up2_train_baseline,full,0.93,2,train_baseline,False,views/full/full_z0.93_up2_train_baseline.png
6,full_z0.93_up2_clahe_clip1_tile4,full,0.93,2,clahe_clip1_tile4,False,views/full/full_z0.93_up2_clahe_clip1_tile4.png
7,full_z0.93_up2_clahe_rl_deblur_bilateral,full,0.93,2,clahe_rl_deblur_bilateral,False,views/full/full_z0.93_up2_clahe_rl_deblur_bilateral.png
8,full_z0.93_up2_adaptive_noise_3way,full,0.93,2,adaptive_noise_3way,False,views/full/full_z0.93_up2_adaptive_noise_3way.png
9,full_z1.00_up2_train_baseline,full,1.00,2,train_baseline,False,views/full/full_z1.00_up2_train_baseline.png
10,full_z1.00_up2_clahe_clip1_tile4,full,1.00,2,clahe_clip1_tile4,False,views/full/full_z1.00_up2_clahe_clip1_tile4.png
11,full_z1.00_up2_clahe_rl_deblur_bilateral,full,1.00,2,clahe_rl_deblur_bilateral,False,views/full/full_z1.00_up2_clahe_rl_deblur_bilateral.png
12,full_z1.00_up2_adaptive_noise_3way,full,1.00,2,adaptive_noise_3way,False,views/full/full_z1.00_up2_adaptive_noise_3way.png
13,full_z1.07_up2_train_baseline,full,1.07,2,train_baseline,False,views/full/full_z1.07_up2_train_baseline.png
14,full_z1.07_up2_clahe_clip1_tile4,full,1.07,2,clahe_clip1_tile4,False,views/full/full_z1.07_up2_clahe_clip1_tile4.png
15,full_z1.07_up2_clahe_rl_deblur_bilateral,full,1.07,2,clahe_rl_deblur_bilateral,False,views/full/full_z1.07_up2_clahe_rl_deblur_bilateral.png
16,full_z1.07_up2_adaptive_noise_3way,full,1.07,2,adaptive_noise_3way,False,views/full/full_z1.07_up2_adaptive_noise_3way.png
17,full_z1.15_up2_train_baseline,full,1.15,2,train_baseline,False,views/full/full_z1.15_up2_train_baseline.png
18,full_z1.15_up2_clahe_clip1_tile4,full,1.15,2,clahe_clip1_tile4,False,views/full/full_z1.15_up2_clahe_clip1_tile4.png
